Rodrigo Bentancur,Tottenham,"£ 75,000 (€ 87,536, $95,492)"
Kostas Tsimikas,Liverpool,"£ 75,000 (€ 87,536, $95,492)"
Emi Buendía,Aston Villa,"£ 75,000 (€ 87,536, $95,492)"
Ezri Konsa,Aston Villa,"£ 75,000 (€ 87,536, $95,492)"
Conor Coady,Leicester City,"£ 75,000 (€ 87,536, $95,492)"
Patson Daka,Leicester City,"£ 75,000 (€ 87,536, $95,492)"
Wilfred Ndidi,Leicester City,"£ 75,000 (€ 87,536, $95,492)"
Ibrahim Sangaré,Nott'ham Forest,"£ 75,000 (€ 87,536, $95,492)"
Jonjo Shelvey,Nott'ham Forest,"£ 75,000 (€ 87,536, $95,492)"
Joe Aribo,Southampton,"£ 70,000 (€ 81,701, $89,126)"
Brennan Johnson,Tottenham,"£ 70,000 (€ 81,701, $89,126)"
Giovani Lo Celso,Tottenham,"£ 70,000 (€ 81,701, $89,126)"
Pape Matar Sarr,Tottenham,"£ 70,000 (€ 81,701, $89,126)"
Cheick Doucouré,Crystal Palace,"£ 70,000 (€ 81,701, $89,126)"
Jefferson Lerma,Crystal Palace,"£ 70,000 (€ 81,701, $89,126)"
Dominic Solanke,Bournemouth,"£ 70,000 (€ 81,701, $89,126)"
Ibrahima Konaté,Liverpool,"£ 70,000 (€ 81,701, $89,126)"
Jacob Ramsey,Aston Villa,"£ 70,000 (€ 81,701, $89,126)"
Hwang Hee-chan,Wolves,"£ 70,000 (€ 81,701, $89,126)"
Mason Holgate,Everton,"£ 70,000 (€ 81,701, $89,126)"
Issa Diop,Fulham,"£ 70,000 (€ 81,701, $89,126)"
Jonny Evans,Manchester Utd,"£ 65,000 (€ 75,865, $82,760)"
Luis Sinisterra,Bournemouth,"£ 65,000 (€ 75,865, $82,760)"
Łukasz Fabiański,West Ham,"£ 65,000 (€ 75,865, $82,760)"
Maxwel Cornet,West Ham,"£ 65,000 (€ 75,865, $82,760)"
Nathaniel Phillips,Liverpool,"£ 65,000 (€ 75,865, $82,760)"
Nicolas Jackson,Chelsea,"£ 65,000 (€ 75,865, $82,760)"
Pascal Groß,Brighton,"£ 65,000 (€ 75,865, $82,760)"
Adama Traoré,Fulham,"£ 65,000 (€ 75,865, $82,760)"
Timothy Castagne,Fulham,"£ 65,000 (€ 75,865, $82,760)"
Saša Lukić,Fulham,"£ 63,000 (€ 73,531, $80,213)"
Scott McTominay,Manchester Utd,"£ 60,000 (€ 70,029, $76,394)"
Player,Squad,Weekly Wages
Adam Armstrong,Southampton,"£ 60,000 (€ 70,029, $76,394)"
Jan Bednarek,Southampton,"£ 60,000 (€ 70,029, $76,394)"
Manor Solomon,Tottenham,"£ 60,000 (€ 70,029, $76,394)"
Jeffrey Schlupp,Crystal Palace,"£ 60,000 (€ 70,029, $76,394)"
Lewis Cook,Bournemouth,"£ 60,000 (€ 70,029, $76,394)"
Tyler Adams,Bournemouth,"£ 60,000 (€ 70,029, $76,394)"
Matheus Cunha,Wolves,"£ 60,000 (€ 70,029, $76,394)"
Jannik Vestergaard,Leicester City,"£ 60,000 (€ 70,029, $76,394)"
Anthony Gordon,Newcastle Utd,"£ 60,000 (€ 70,029, $76,394)"
Miguel Almirón,Newcastle Utd,"£ 60,000 (€ 70,029, $76,394)"
Nick Pope,Newcastle Utd,"£ 60,000 (€ 70,029, $76,394)"
Robert Sánchez,Chelsea,"£ 60,000 (€ 70,029, $76,394)"
Danny Welbeck,Brighton,"£ 60,000 (€ 70,029, $76,394)"
James Milner,Brighton,"£ 60,000 (€ 70,029, $76,394)"
Jakub Kiwior,Arsenal,"£ 58,000 (€ 67,695, $73,847)"
Vitaliy Mykolenko,Everton,"£ 58,000 (€ 67,695, $73,847)"
Yves Bissouma,Tottenham,"£ 55,000 (€ 64,193, $70,027)"
Chris Richards,Crystal Palace,"£ 55,000 (€ 64,193, $70,027)"
Luis Díaz,Liverpool,"£ 55,000 (€ 64,193, $70,027)"
Boubacar Traoré,Wolves,"£ 55,000 (€ 64,193, $70,027)"
Dan Burn,Newcastle Utd,"£ 55,000 (€ 64,193, $70,027)"
Emil Krafth,Newcastle Utd,"£ 55,000 (€ 64,193, $70,027)"
Ben Mee,Brentford,"£ 55,000 (€ 64,193, $70,027)"
Adam Webster,Brighton,"£ 55,000 (€ 64,193, $70,027)"
Mahmoud Dahoud,Brighton,"£ 55,000 (€ 64,193, $70,027)"
Séamus Coleman,Everton,"£ 55,000 (€ 64,193, $70,027)"
Sergio Reguilón,Tottenham,"£ 53,000 (€ 61,859, $67,481)"
Alejandro Garnacho,Manchester Utd,"£ 50,000 (€ 58,358, $63,661)"
Micky van de Ven,Tottenham,"£ 50,000 (€ 58,358, $63,661)"
Jean-Philippe Mateta,Crystal Palace,"£ 50,000 (€ 58,358, $63,661)"
Marc Guéhi,Crystal Palace,"£ 50,000 (€ 58,358, $63,661)"
Nathaniel Clyne,Crystal Palace,"£ 50,000 (€ 58,358, $63,661)"
Will Hughes,Crystal Palace,"£ 50,000 (€ 58,358, $63,661)"
Antoine Semenyo,Bournemouth,"£ 50,000 (€ 58,358, $63,661)"
David Brooks,Bournemouth,"£ 50,000 (€ 58,358, $63,661)"
Ilya Zabarnyi,Bournemouth,"£ 50,000 (€ 58,358, $63,661)"
Marcos Senesi,Bournemouth,"£ 50,000 (€ 58,358, $63,661)"
Neto,Bournemouth,"£ 50,000 (€ 58,358, $63,661)"
Ryan Christie,Bournemouth,"£ 50,000 (€ 58,358, $63,661)"
Aaron Cresswell,West Ham,"£ 50,000 (€ 58,358, $63,661)"
Player,Squad,Weekly Wages
Konstantinos Mavropanos,West Ham,"£ 50,000 (€ 58,358, $63,661)"
