Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
15/05/2016,Newcastle,Tottenham,5.0,1.0,H,2.0,0.0,H,A Taylor,19.0,17.0,10.0,5.0,7.0,6.0,3.0,8.0,1.0,2.0,1.0,0.0,4.5,4.0,1.8,4.1,3.7,1.8,4.5,3.5,1.75,4.5,3.4,1.83,4.6,4.0,1.75
15/05/2016,Southampton,Crystal Palace,4.0,1.0,H,1.0,0.0,H,M Oliver,18.0,16.0,5.0,4.0,7.0,14.0,2.0,5.0,1.0,2.0,0.0,0.0,1.36,5.5,9.0,1.33,4.75,9.25,1.4,4.4,7.3,1.36,4.8,8.0,1.33,5.5,10.0
15/05/2016,Stoke,West Ham,2.0,1.0,H,0.0,1.0,A,M Jones,7.0,20.0,4.0,7.0,8.0,12.0,4.0,10.0,3.0,1.0,0.0,0.0,3.5,3.6,2.15,3.3,3.4,2.1,2.9,3.3,2.3,3.5,3.1,2.2,3.5,3.8,2.1
15/05/2016,Swansea,Man City,1.0,1.0,D,1.0,1.0,D,M Dean,4.0,18.0,1.0,5.0,4.0,19.0,4.0,4.0,1.0,3.0,0.0,0.0,6.0,4.75,1.53,5.75,4.5,1.48,7.0,4.0,1.45,5.5,4.33,1.53,5.2,4.75,1.53
15/05/2016,Watford,Sunderland,2.0,2.0,D,0.0,1.0,A,K Friend,21.0,6.0,6.0,4.0,11.0,10.0,7.0,4.0,1.0,0.0,0.0,0.0,2.05,3.75,3.7,2.05,3.3,3.6,2.2,3.3,3.1,1.95,3.75,3.6,2.05,3.75,3.7
15/05/2016,West Brom,Liverpool,1.0,1.0,D,1.0,1.0,D,R Madley,13.0,7.0,1.0,3.0,11.0,14.0,7.0,5.0,3.0,1.0,0.0,0.0,2.4,3.6,3.0,2.35,3.5,2.75,2.5,3.4,2.6,2.4,3.1,3.1,2.38,3.6,3.0
17/05/2016,Man United,Bournemouth,3.0,1.0,H,1.0,0.0,H,J Moss,12.0,7.0,5.0,0.0,9.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,1.67,4.2,5.25,1.67,4.0,5.0,1.7,3.7,4.5,1.67,4.0,4.75,1.67,4.1,5.2
13/08/16,Burnley,Swansea,0.0,1.0,A,0.0,0.0,D,J Moss,10.0,17.0,3.0,9.0,10.0,14.0,7.0,4.0,3.0,2.0,0.0,0.0,2.4,3.3,3.25,2.45,3.1,2.95,2.5,3.3,2.65,2.5,3.2,2.9,2.5,3.2,3.25
13/08/16,Crystal Palace,West Brom,0.0,1.0,A,0.0,0.0,D,C Pawson,14.0,13.0,4.0,3.0,12.0,15.0,3.0,6.0,2.0,2.0,0.0,0.0,2.0,3.3,4.5,2.0,3.2,3.9,2.1,3.3,3.3,2.05,3.1,4.0,2.0,3.3,4.4
13/08/16,Everton,Tottenham,1.0,1.0,D,1.0,0.0,H,M Atkinson,12.0,13.0,6.0,4.0,10.0,14.0,5.0,6.0,0.0,0.0,0.0,0.0,3.2,3.4,2.4,2.95,3.2,2.4,2.65,3.3,2.5,3.1,3.1,2.4,3.25,3.4,2.38
13/08/16,Hull,Leicester,2.0,1.0,H,1.0,0.0,H,M Dean,14.0,18.0,5.0,5.0,8.0,17.0,5.0,3.0,2.0,2.0,0.0,0.0,4.5,3.6,1.91,4.33,3.4,1.9,3.3,3.3,2.1,4.2,3.25,1.95,4.4,3.5,1.95
13/08/16,Man City,Sunderland,2.0,1.0,H,1.0,0.0,H,R Madley,16.0,7.0,4.0,3.0,11.0,14.0,9.0,6.0,1.0,2.0,0.0,0.0,1.25,6.5,15.0,1.22,6.0,11.5,1.25,5.5,10.3,1.25,5.5,13.0,1.25,6.5,15.0
13/08/16,Middlesbrough,Stoke,1.0,1.0,D,1.0,0.0,H,K Friend,12.0,12.0,2.0,1.0,18.0,14.0,9.0,6.0,3.0,5.0,0.0,0.0,2.38,3.2,3.4,2.25,3.1,3.25,2.3,3.3,2.9,2.4,3.1,3.1,2.38,3.2,3.4
