Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
70,Danny Ings,eng ENG,CF,West Ham,31,"£ 125,000 (€ 145,894, $159,153)","£ 6,500,000 (€ 7,586,491, $8,275,966)",
71,Kurt Zouma,fr FRA,CB,West Ham,29,"£ 125,000 (€ 145,894, $159,153)","£ 6,500,000 (€ 7,586,491, $8,275,966)",
72,Philippe Coutinho,br BRA,AM,Aston Villa,32,"£ 125,000 (€ 145,894, $159,153)","£ 6,500,000 (€ 7,586,491, $8,275,966)",
73,Jordan Pickford,eng ENG,GK,Everton,30,"£ 125,000 (€ 145,894, $159,153)","£ 6,500,000 (€ 7,586,491, $8,275,966)",
74,Aaron Ramsdale,eng ENG,GK,Arsenal,26,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
75,Riccardo Calafiori,it ITA,CB,Arsenal,22,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
76,André Onana,cm CMR,GK,Manchester Utd,28,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
77,Lisandro Martínez,ar ARG,CB,Manchester Utd,26,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
78,Victor Lindelöf,se SWE,CB,Manchester Utd,29,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
79,Alphonse Areola,fr FRA,GK,West Ham,31,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
80,Jarrod Bowen,eng ENG,RW,West Ham,27,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
81,Cody Gakpo,nl NED,LW,Liverpool,25,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
82,Dominik Szoboszlai,hu HUN,CM,Liverpool,23,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
83,Emiliano Martínez,ar ARG,GK,Aston Villa,31,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",
84,John McGinn,sct SCO,CM,Aston Villa,29,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",Unverified estimation
85,Leon Bailey,jm JAM,RW,Aston Villa,26,"£ 120,000 (€ 140,058, $152,787)","£ 6,240,000 (€ 7,283,032, $7,944,927)",Unverified estimation
